                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0057,                 1.7804,                 1.4963,                0.65006,                 0.6147,                0.61059,                0.38901,                 1.2215,                 1.3959,                  1.862,             0.00016645,             0.00016645,             0.00016645
                      2,                 1.0665,                 1.4752,                 1.5324,                0.63733,                0.56786,                0.60876,                0.38887,                 1.2443,                 1.5671,                 1.8775,             0.00031113,             0.00031113,             0.00031113
                      3,                 1.0481,                 1.4104,                  1.522,                0.65916,                0.62802,                0.66306,                0.44942,                 1.1685,                 1.2512,                 1.8112,             0.00043381,             0.00043381,             0.00043381
                      4,                 1.0078,                 1.2951,                 1.4854,                0.77006,                0.72084,                0.77613,                0.54341,                 1.0393,                0.98617,                 1.6081,               0.000401,               0.000401,               0.000401
                      5,                0.97438,                  1.193,                  1.454,                0.68105,                0.77869,                0.78841,                0.54652,                 1.0557,                0.89413,                 1.6415,               0.000401,               0.000401,               0.000401
                      6,                0.87892,                0.92429,                 1.5291,                0.76957,                0.73105,                0.80285,                0.56958,                  1.015,                 0.8808,                 1.6056,               0.000368,               0.000368,               0.000368
                      7,                0.83764,                 0.8107,                 1.4814,                0.82124,                 0.7459,                0.81971,                0.59884,                0.97489,                0.80025,                 1.5237,               0.000335,               0.000335,               0.000335
                      8,                 0.7889,                0.71928,                 1.4327,                0.81589,                 0.7707,                0.84756,                0.63333,                0.89839,                0.71361,                 1.4575,               0.000302,               0.000302,               0.000302
                      9,                0.76797,                 0.6687,                 1.4049,                0.79672,                0.81153,                0.86023,                0.65282,                0.87636,                0.69031,                 1.4351,               0.000269,               0.000269,               0.000269
                     10,                0.73362,                0.61415,                 1.3762,                0.84661,                0.80333,                0.87774,                 0.6736,                0.85332,                0.63835,                 1.4148,               0.000236,               0.000236,               0.000236
                     11,                0.69705,                0.55701,                 1.3393,                0.83917,                0.82441,                0.88551,                 0.6886,                0.83225,                 0.5955,                 1.3719,               0.000203,               0.000203,               0.000203
                     12,                0.66766,                0.50758,                 1.3067,                0.86053,                0.82414,                 0.8914,                0.70039,                0.82427,                0.58762,                 1.3708,                0.00017,                0.00017,                0.00017
                     13,                0.64515,                0.46507,                 1.2841,                0.84925,                0.84911,                0.89416,                0.69957,                0.83416,                0.56232,                 1.3924,               0.000137,               0.000137,               0.000137
                     14,                0.61529,                0.43416,                 1.2533,                0.85219,                0.83229,                0.89972,                0.71208,                0.80867,                0.53929,                 1.3467,               0.000104,               0.000104,               0.000104
                     15,                0.59329,                0.39841,                 1.2351,                0.84722,                0.85317,                0.90045,                0.71583,                0.80562,                0.52184,                 1.3468,                7.1e-05,                7.1e-05,                7.1e-05
