                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6074,                 4.6914,                 1.5552,                0.66424,                0.02129,                0.03055,                0.01846,                   1.56,                 3.9683,                 1.4229,             8.2532e-05,             8.2532e-05,             8.2532e-05
                      2,                 1.5354,                 3.8554,                 1.4731,                0.71961,                 0.1052,                0.07089,                0.04508,                  1.531,                 3.2641,                 1.5074,             0.00016039,             0.00016039,             0.00016039
                      3,                 1.5379,                 3.4974,                 1.4755,                0.56052,                0.11544,                 0.0819,                0.04524,                 1.5623,                 3.0029,                 1.5007,             0.00023275,             0.00023275,             0.00023275
                      4,                 1.5174,                 3.2799,                 1.4586,                0.33287,                0.16267,                0.08201,                0.04743,                 1.5608,                 2.9677,                 1.4865,             0.00022525,             0.00022525,             0.00022525
                      5,                 1.4936,                 3.0869,                 1.4564,                0.41248,                0.15892,                0.10673,                0.06142,                 1.5229,                  2.761,                 1.4808,             0.00022525,             0.00022525,             0.00022525
                      6,                 1.4493,                 2.9247,                 1.4431,                0.36917,                0.17834,                0.11492,                0.06695,                 1.5114,                 2.7198,                 1.4687,               0.000217,               0.000217,               0.000217
                      7,                 1.4505,                 2.8617,                  1.424,                0.37882,                0.20339,                0.14348,                0.08281,                  1.486,                 2.5825,                 1.4553,             0.00020875,             0.00020875,             0.00020875
                      8,                 1.3949,                 2.6944,                 1.3878,                0.47957,                0.18627,                0.14827,                0.08648,                 1.4926,                 2.5878,                 1.4608,              0.0002005,              0.0002005,              0.0002005
                      9,                 1.3783,                 2.6259,                 1.3797,                0.42427,                0.21571,                0.15985,                0.09418,                 1.4927,                 2.6059,                 1.4771,             0.00019225,             0.00019225,             0.00019225
                     10,                 1.3731,                 2.5193,                 1.3691,                0.41486,                0.22654,                0.16117,                0.09612,                 1.4794,                 2.4812,                 1.4679,               0.000184,               0.000184,               0.000184
                     11,                 1.3476,                 2.4926,                 1.3652,                0.42519,                0.19303,                0.15352,                0.08776,                 1.5094,                 2.4507,                 1.4723,             0.00017575,             0.00017575,             0.00017575
                     12,                 1.3401,                 2.4383,                 1.3513,                0.45978,                0.23797,                0.17868,                0.10502,                 1.4774,                 2.4042,                 1.4473,              0.0001675,              0.0001675,              0.0001675
                     13,                 1.3377,                 2.3667,                 1.3351,                0.47586,                0.22059,                0.16918,                0.09971,                 1.4797,                 2.4188,                 1.4461,             0.00015925,             0.00015925,             0.00015925
                     14,                 1.3403,                 2.3649,                 1.3531,                0.50709,                0.21078,                0.19586,                0.11252,                 1.5014,                 2.3384,                 1.4481,               0.000151,               0.000151,               0.000151
